City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
203,santa cruz,-17.8,-63.1667,304.18,33,0,6.69,BO,1691611552
204,christchurch,-43.5333,172.6333,276.45,77,87,4.63,NZ,1691611538
205,dul'durga,50.6761,113.5931,289.77,99,100,1.52,RU,1691611553
206,atherton,53.5237,-2.4935,294.42,78,99,1.34,GB,1691611553
207,saint-joseph,-21.3667,55.6167,292.36,78,20,3.64,RE,1691611554
208,anadyr,64.75,177.4833,282.43,81,75,4.0,RU,1691611475
209,scarborough,54.2797,-0.4044,290.74,74,78,4.92,GB,1691611554
210,nuuk,64.1835,-51.7216,279.49,87,75,7.72,GL,1691611492
211,chibougamau,49.9168,-74.3659,295.94,49,20,2.57,CA,1691611341
212,grand haven,43.0631,-86.2284,300.46,70,100,4.12,US,1691611555
213,mersing,2.4312,103.8405,298.1,94,20,2.06,MY,1691611556
214,durg,21.1833,81.2833,298.73,74,10,2.62,IN,1691611556
215,iskateley,67.6803,53.1512,286.16,81,44,2.3,RU,1691611500
216,manado,1.487,124.8455,297.58,88,20,1.03,ID,1691611557
217,lata,40.1629,-8.3327,291.3,84,0,1.53,PT,1691611557
218,tlahualilo de zaragoza,26.1167,-103.45,310.5,17,1,1.61,MX,1691611557
219,corner brook,48.9667,-57.9484,291.24,86,100,5.37,CA,1691611503
220,vilcun,-38.65,-72.2333,284.56,80,100,3.31,CL,1691611558
221,juan griego,11.0817,-63.9655,303.58,65,95,3.47,VE,1691611558
222,columbia falls,48.3725,-114.1815,299.49,42,75,3.09,US,1691611559
223,labuan bajo,-8.4964,119.8877,295.0,76,9,1.92,ID,1691611559
224,brookings,44.3114,-96.7984,301.03,60,75,3.6,US,1691611523
225,ponta delgada,37.7333,-25.6667,296.55,94,75,3.09,PT,1691611560
226,colonia,50.9333,6.95,292.51,69,0,3.09,DE,1691611560
227,sao felix do xingu,-6.6447,-51.995,306.99,31,81,0.62,BR,1691611561
228,san pedro,14.35,121.0167,301.72,87,40,1.54,PH,1691611561
229,brasileia,-11.0161,-68.7481,307.4,55,40,1.54,BR,1691611561
230,ratnagiri,16.9833,73.3,299.39,84,100,1.86,IN,1691611562
231,fenyi,27.8112,114.6681,298.57,96,0,0.76,CN,1691611562
232,katsuura,35.1333,140.3,299.21,88,64,4.49,JP,1691611563
233,luderitz,-26.6481,15.1594,296.78,44,71,3.79,NA,1691611486
234,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,87,0,2.0,RU,1691611392
235,touros,-5.1989,-35.4608,298.83,81,89,10.73,BR,1691611264
236,maragogi,-9.0122,-35.2225,297.43,75,5,4.48,BR,1691611334
237,hermanus,-34.4187,19.2345,286.38,86,0,4.43,ZA,1691611268
238,bubaque,11.2833,-15.8333,300.49,82,61,3.39,GW,1691611565
239,merritt island,28.5392,-80.672,310.49,68,0,4.63,US,1691611565
240,mount pearl,47.5166,-52.7813,288.13,83,75,5.66,CA,1691611566
241,shuangcheng,45.35,126.2833,289.97,92,0,1.8,CN,1691611566
242,coquimbo,-29.9533,-71.3436,288.0,82,100,3.6,CL,1691611487
243,garden city,42.3256,-83.331,303.51,50,20,4.63,US,1691611310
244,blenheim,-41.516,173.9528,275.11,92,100,0.45,NZ,1691611567
245,howard springs,-12.497,131.047,296.1,81,100,2.56,AU,1691611567
246,raahe,64.6833,24.4833,291.2,73,100,2.59,FI,1691611568
247,port alfred,-33.5906,26.891,289.36,87,48,2.24,ZA,1691611474
248,chul'man,56.8479,124.9104,286.42,86,24,2.28,RU,1691611568
249,avanigadda,16.0215,80.9181,302.01,71,99,1.22,IN,1691611569
250,tecuala,22.3986,-105.4569,308.37,51,61,4.35,MX,1691611567
251,mata-utu,-13.2816,-176.1745,301.04,75,12,4.55,WF,1691611569
252,kismayo,-0.3582,42.5454,297.51,83,23,6.3,SO,1691611570
253,demba,-5.51,22.2667,298.87,38,61,0.33,CD,1691611570
254,ancud,-41.8697,-73.8203,283.78,92,100,7.72,CL,1691611570
255,kidal,18.4411,1.4078,309.72,28,100,3.88,ML,1691611571
256,hede,33.7681,120.2517,295.83,91,3,3.24,CN,1691611571
257,cockburn town,21.4612,-71.1419,302.15,83,97,7.53,TC,1691611572
258,aleksandrovsk-sakhalinskiy,50.8975,142.1561,288.07,91,100,1.82,RU,1691611572
259,east london,-33.0153,27.9116,290.5,78,72,7.71,ZA,1691611456
260,posto fiscal rolim de moura,-13.0833,-62.2667,311.03,23,33,0.23,BR,1691611573
261,trairi,-3.2778,-39.2689,299.9,75,98,6.03,BR,1691611573
262,taltal,-25.4,-70.4833,291.14,70,83,1.51,CL,1691611573
263,keflavik,64.0049,-22.5624,289.1,67,75,5.66,IS,1691611574
